S.No.,State,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,Andhra Pradesh,"Agriculture, forestry and fishing",9400805,11186428,12895568,14819416,17326726,20386004
1.1,Andhra Pradesh,Crops,5204052,6123041,7114707,7893514,8644285,9717089
1.2,Andhra Pradesh,Livestock,2758776,3358438,3643026,4309078,5155487,5979648
1.3,Andhra Pradesh,Forestry and logging,250314,253029,280493,346160,340550,335487
1.4,Andhra Pradesh,Fishing and aquaculture,1187663,1451920,1857342,2270664,3186404,4353780
2,Andhra Pradesh,Mining and quarrying,1416194,1459027,1419200,1484300,1633100,1757565
Total,Andhra Pradesh,Primary,10816999,12645455,14314768,16303716,18959826,22143569
3,Andhra Pradesh,Manufacturing,5070622,4237657,4242337,4672266,5078685,5740816
4,Andhra Pradesh,"Electricity, gas, water supply & other utility services",1076517,713029,1014130,1151729,1251910,1298947
5,Andhra Pradesh,Construction,3702645,3759004,4065131,4664889,4986189,5467732
Total,Andhra Pradesh,Secondary,9849784,8709690,9321598,10488884,11316784,12507496
6,Andhra Pradesh,"Trade, repair, hotels and restaurants",2673600,3179200,3784900,4233400,4577700,5174600
6.1,Andhra Pradesh,Trade & repair services,2322700,2775600,3290800,3716000,3964000,4382200
6.2,Andhra Pradesh,Hotels & restaurants,350900,403600,494100,517400,613700,792400
7,Andhra Pradesh,"Transport, storage, communication & services related to broadcasting",3251379,3778632,4365811,5076984,5806226,6766317
7.1,Andhra Pradesh,Railways,264279,303702,334468,424228,436596,445372
7.2,Andhra Pradesh,Road transport,1824800,2200400,2516200,2816000,3217400,3798300
7.3,Andhra Pradesh,Water transport,95100,90400,60600,94200,110500,123600
7.4,Andhra Pradesh,Air transport,4500,10600,5100,14900,25000,28000
7.5,Andhra Pradesh,Services incidental to transport,501800,535500,634700,780200,904200,1020800
7.6,Andhra Pradesh,Storage,20700,16600,18700,18700,19000,20600
7.7,Andhra Pradesh,Communication & services related to broadcasting,540200,621430,796043,928756,1093530,1329645
8,Andhra Pradesh,Financial services,1425608,1584297,1710463,1900863,2125508,2415390
9,Andhra Pradesh,"Real estate, ownership of dwelling & professional services",2833805,3434098,3897345,4405409,5092310,5942431
10,Andhra Pradesh,Public administration,1393752,1552379,1738971,2200897,2594904,3039676
11,Andhra Pradesh,Other services,2730376,3063920,3538298,4215389,5248604,6180240
Total,Andhra Pradesh,Tertiary,14308520,16592526,19035788,22032942,25445252,29518654
12,Andhra Pradesh,TOTAL GSVA at basic prices,34975303,37947671,42672154,48825542,55721862,64169719
13,Andhra Pradesh,Taxes on Products,4243900,4656500,5263500,5512100,6719300,7236500
14,Andhra Pradesh,Subsidies on products,1279000,1463800,1508500,1690800,1447800,1475500
15,Andhra Pradesh,Gross State Domestic Product,37940203,41140371,46427154,52646842,60993362,69930719
16,Andhra Pradesh,Population ('00),492750,495660,498570,501510,504460,507430
17,Andhra Pradesh,Per Capita GSDP (Rs.),76997,83001,93121,104977,120908,137814
1,Arunachal Pradesh,"Agriculture, forestry and fishing",455505,545406,603944,686117,744726,
1.1,Arunachal Pradesh,Crops,255815,331962,360344,415520,431318,
1.2,Arunachal Pradesh,Livestock,29657,24249,34027,38387,44386,
1.3,Arunachal Pradesh,Forestry and logging,165510,183780,204038,224017,258676,
1.4,Arunachal Pradesh,Fishing and aquaculture,4523,5415,5535,8193,10346,
2,Arunachal Pradesh,Mining and quarrying,23022,35024,43616,30842,38068,
Total,Arunachal Pradesh,Primary,478527,580430,647560,716959,782794,
3,Arunachal Pradesh,Manufacturing,12900,14827,19714,26120,37743,
4,Arunachal Pradesh,"Electricity, gas, water supply & other utility services",69131,78766,89594,113527,139187,
5,Arunachal Pradesh,Construction,104529,107821,124594,147842,161705,
Total,Arunachal Pradesh,Secondary,186560,201414,233902,287489,338635,
6,Arunachal Pradesh,"Trade, repair, hotels and restaurants",59892,50878,70494,60421,65846,
6.1,Arunachal Pradesh,Trade & repair services,56921,47880,67273,56796,62044,
6.2,Arunachal Pradesh,Hotels & restaurants,2971,2998,3221,3625,3802,
7,Arunachal Pradesh,"Transport, storage, communication & services related to broadcasting",23420,27306,33414,35203,42833,
7.1,Arunachal Pradesh,Railways,30,34,47,59,65,
7.2,Arunachal Pradesh,Road transport,12382,13618,16059,15467,20413,
7.3,Arunachal Pradesh,Water transport,0,0,0,0,0,
7.4,Arunachal Pradesh,Air transport,0,0,0,0,0,
7.5,Arunachal Pradesh,Services incidental to transport,78,89,100,109,121,
7.6,Arunachal Pradesh,Storage,0,0,0,0,0,
7.7,Arunachal Pradesh,Communication & services related to broadcasting,10930,13565,17208,19568,22234,
8,Arunachal Pradesh,Financial services,20884,21562,23571,25207,27548,
9,Arunachal Pradesh,"Real estate, ownership of dwelling & professional services",38261,41869,44949,48418,50432,
10,Arunachal Pradesh,Public administration,135418,149466,183105,243867,265622,
11,Arunachal Pradesh,Other services,142509,167431,189928,218728,257504,
Total,Arunachal Pradesh,Tertiary,420384,458512,545461,631844,709785,
12,Arunachal Pradesh,TOTAL GSVA at basic prices,1085471,1240356,1426923,1636292,1831214,
13,Arunachal Pradesh,Taxes on Products,41341,43899,62683,70099,78392,
14,Arunachal Pradesh,Subsidies on products,20542,29591,29405,30272,31165,
15,Arunachal Pradesh,Gross State Domestic Product,1106270,1254664,1460201,1676119,1878441,
16,Arunachal Pradesh,Population ('00),14000,14280,14570,14870,15160,
17,Arunachal Pradesh,Per Capita GSDP (Rs.),79019,87862,100220,112718,123908,
1,Assam,"Agriculture, forestry and fishing",2848113,3391548,3692959,3855548,4343564,
1.1,Assam,Crops,2061487,2496905,2720261,2890544,3310990,
1.2,Assam,Livestock,159289,179160,155267,173478,175526,
1.3,Assam,Forestry and logging,231388,246368,311458,261987,278521,
1.4,Assam,Fishing and aquaculture,395949,469115,505973,529539,578527,
2,Assam,Mining and quarrying,1464989,1448306,1423477,1471149,1493456,
Total,Assam,Primary,4313102,4839854,5116436,5326697,5837020,
3,Assam,Manufacturing,1540255,1531538,1904299,2002936,2055341,
4,Assam,"Electricity, gas, water supply & other utility services",191883,210901,257083,296587,372236,
5,Assam,Construction,1188747,1270304,1537481,1733568,2093594,
Total,Assam,Secondary,2920885,3012743,3698863,4033091,4521171,
6,Assam,"Trade, repair, hotels and restaurants",2045676,2284041,2573962,2987155,3480621,
6.1,Assam,Trade & repair services,1961211,2191727,2473790,2876251,3353852,
6.2,Assam,Hotels & restaurants,84465,92314,100172,110904,126769,
7,Assam,"Transport, storage, communication & services related to broadcasting",810091,929196,1086729,1194568,1392834,
7.1,Assam,Railways,158334,186316,215234,252509,294682,
7.2,Assam,Road transport,356262,422930,474743,507668,579295,
7.3,Assam,Water transport,43626,47129,25033,4502,5023,
7.4,Assam,Air transport,0,255,9711,26223,29260,
7.5,Assam,Services incidental to transport,36400,39855,36798,35739,37732,
7.6,Assam,Storage,6594,7277,8377,10308,12070,
7.7,Assam,Communication & services related to broadcasting,208875,225434,316833,357619,434772,
8,Assam,Financial services,427077,457213,515905,543651,591575,
9,Assam,"Real estate, ownership of dwelling & professional services",1112543,1225917,1316472,1412466,1534435,
10,Assam,Public administration,821723,929477,982734,1373611,1556575,
11,Assam,Other services,1077923,1182533,1493924,1795658,2209442,
Total,Assam,Tertiary,6295033,7008377,7969726,9307109,10765482,
12,Assam,TOTAL GSVA at basic prices,13529020,14860974,16785025,18666897,21123673,
13,Assam,Taxes on Products,1203476,1346785,1519305,1725309,1945496,
14,Assam,Subsidies on products,415005,521335,529808,582406,645770,
15,Assam,Gross State Domestic Product,14317491,15686424,17774522,19809800,22423399,
16,Assam,Population ('00),314410,318480,322600,326780,331010,
17,Assam,Per Capita GSDP (Rs.),45538,49254,55098,60621,67742,
1,Bihar,"Agriculture, forestry and fishing",6206655,7669989,7371939,7951890,8095024,
1.1,Bihar,Crops,4260778,5336544,4522339,4688237,4577220,
1.2,Bihar,Livestock,1202821,1481102,1831596,2060296,2247038,
1.3,Bihar,Forestry and logging,418682,457077,500976,550132,591042,
1.4,Bihar,Fishing and aquaculture,324374,395266,517028,653224,679725,
2,Bihar,Mining and quarrying,19858,23429,150804,68107,68549,
Total,Bihar,Primary,6226513,7693418,7522743,8019997,8163574,
3,Bihar,Manufacturing,1466570,1035092,2120942,2189965,2892956,
4,Bihar,"Electricity, gas, water supply & other utility services",365887,442206,385931,345168,363130,
5,Bihar,Construction,2701685,2781005,3184760,3449763,3667664,
Total,Bihar,Secondary,4534142,4258302,5691633,5984896,6923750,
6,Bihar,"Trade, repair, hotels and restaurants",4390442,5175534,5205102,7448373,8789191,
6.1,Bihar,Trade & repair services,4110861,4867227,4873547,7081391,8383018,
6.2,Bihar,Hotels & restaurants,279581,308307,331555,366982,406173,
7,Bihar,"Transport, storage, communication & services related to broadcasting",1754480,2161629,2684993,3147173,3658194,
7.1,Bihar,Railways,275142,334829,395681,462413,540400,
7.2,Bihar,Road transport,840472,1069740,1347912,1572288,1833696,
7.3,Bihar,Water transport,4895,2559,1728,2228,2228,
7.4,Bihar,Air transport,3079,5848,4557,13599,13599,
7.5,Bihar,Services incidental to transport,89270,112022,142482,166600,194712,
7.6,Bihar,Storage,7400,8434,8457,10618,10618,
7.7,Bihar,Communication & services related to broadcasting,534222,628197,784175,919427,1062941,
8,Bihar,Financial services,883932,977417,1122273,1178022,1236540,
9,Bihar,"Real estate, ownership of dwelling & professional services",2802336,3121656,3460385,3740641,4081952,
10,Bihar,Public administration,1358743,1477676,1576835,2078171,2129474,
11,Bihar,Other services,2219262,2804281,3404578,4587589,4845291,
Total,Bihar,Tertiary,13409194,15718193,17454166,22179969,24740642,
12,Bihar,TOTAL GSVA at basic prices,24169849,27669913,30668542,36184863,39827966,
13,Bihar,Taxes on Products,1716948,2118544,2623561,3213546,4067111,
14,Bihar,Subsidies on products,1172402,1551663,1581969,2006421,2544756,
15,Bihar,Gross State Domestic Product,24714396,28236794,31710134,37391988,41350321,
16,Bihar,Population ('00),1050570,1067200,1084080,1101240,1118670,
17,Bihar,Per Capita GSDP (Rs.),23525,26459,29251,33954,36964,
1,Chattisgarh,"Agriculture, forestry and fishing",2685950,3180908,3589934,3948847,4341869,4852218
1.1,Chattisgarh,Crops,1798258,2140927,2395705,2613371,2829924,3132527
1.2,Chattisgarh,Livestock,226704,255035,310931,352208,412501,467223
1.3,Chattisgarh,Forestry and logging,426205,503309,559637,597785,672022,778945
1.4,Chattisgarh,Fishing and aquaculture,234783,281637,323661,385483,427422,473523
2,Chattisgarh,Mining and quarrying,1970258,1923021,2144358,2451970,2365874,2482291
Total,Chattisgarh,Primary,4656208,5103929,5734292,6400817,6707743,7334509
3,Chattisgarh,Manufacturing,2435032,2817915,3810105,4370593,4925000,5403213
4,Chattisgarh,"Electricity, gas, water supply & other utility services",709991,970686,1051772,1198438,1351026,1461841
5,Chattisgarh,Construction,1901330,1920771,2260022,2669855,3016954,3391547
Total,Chattisgarh,Secondary,5046354,5709372,7121899,8238886,9292980,10256601
6,Chattisgarh,"Trade, repair, hotels and restaurants",932617,1101271,1288982,1535571,1782734,1979656
6.1,Chattisgarh,Trade & repair services,847597,1011450,1178419,1414164,1666029,1838297
6.2,Chattisgarh,Hotels & restaurants,85020,89821,110563,121407,116706,141359
7,Chattisgarh,"Transport, storage, communication & services related to broadcasting",583708,683320,783315,871770,1003151,1165466
7.1,Chattisgarh,Railways,121509,140418,150098,159176,173471,186151
7.2,Chattisgarh,Road transport,275736,320533,357128,386628,443855,516676
7.3,Chattisgarh,Water transport,0,0,0,0,0,0
7.4,Chattisgarh,Air transport,2217,4215,3337,9507,9842,11038
7.5,Chattisgarh,Services incidental to transport,3756,4347,4818,5232,5680,6084
7.6,Chattisgarh,Storage,10189,11689,14026,16675,19415,22675
7.7,Chattisgarh,Communication & services related to broadcasting,170301,202117,253906,294552,350888,422842
8,Chattisgarh,Financial services,537699,609344,676094,739057,813950,903006
9,Chattisgarh,"Real estate, ownership of dwelling & professional services",1755211,1919629,2227586,2462166,2749303,3034840
10,Chattisgarh,Public administration,549383,611344,781483,867982,1028511,1274761
11,Chattisgarh,Other services,781803,875123,914758,1112232,1320891,1616648
Total,Chattisgarh,Tertiary,5140421,5800031,6672218,7588778,8698541,9974377
12,Chattisgarh,TOTAL GSVA at basic prices,14842983,16613332,19528409,22228481,24699264,27565487
13,Chattisgarh,Taxes on Products,1704500,2087500,2193874,2601791,3002113,3393144
14,Chattisgarh,Subsidies on products,740100,949700,1053267,1332092,1623812,1944661
15,Chattisgarh,Gross State Domestic Product,15807383,17751132,20669016,23498180,26077565,29013970
16,Chattisgarh,Population ('00),257850,262010,266240,270530,274900,279330
17,Chattisgarh,Per Capita GSDP (Rs.),61305,67750,77633,86860,94862,103870
1,Goa,"Agriculture, forestry and fishing",204298,228626,311711,308507,366186,
1.1,Goa,Crops,102417,108207,126747,140421,159400,
1.2,Goa,Livestock,23530,26599,31237,30141,43088,
1.3,Goa,Forestry and logging,11797,12522,13051,15744,19880,
1.4,Goa,Fishing and aquaculture,66554,81298,140676,122201,143819,
2,Goa,Mining and quarrying,643618,208663,3977,3622,3678,
Total,Goa,Primary,847915,437289,315688,312129,369865,
3,Goa,Manufacturing,1629346,1453493,1091757,1177608,1285215,
4,Goa,"Electricity, gas, water supply & other utility services",95883,116876,157732,204110,274414,
5,Goa,Construction,135801,140399,161627,165819,175281,
Total,Goa,Secondary,1861030,1710767,1411116,1547536,1734910,
6,Goa,"Trade, repair, hotels and restaurants",259615,259610,284357,380927,470977,
6.1,Goa,Trade & repair services,231790,229719,251701,343492,427674,
6.2,Goa,Hotels & restaurants,27825,29891,32656,37434,43303,
7,Goa,"Transport, storage, communication & services related to broadcasting",155964,141372,135168,189656,186023,
7.1,Goa,Railways,12158,13498,13559,15649,18061,
7.2,Goa,Road transport,34683,38841,42533,46171,48971,
7.3,Goa,Water transport,42442,22267,12790,17820,20561,
7.4,Goa,Air transport,9731,18426,15901,46359,15904,
7.5,Goa,Services incidental to transport,29654,18371,12158,19272,30779,
7.6,Goa,Storage,192,253,306,357,416,
7.7,Goa,Communication & services related to broadcasting,27105,29716,37921,44028,51330,
8,Goa,Financial services,172930,205807,219431,233618,248722,
9,Goa,"Real estate, ownership of dwelling & professional services",268681,311294,353295,407099,471567,
10,Goa,Public administration,250476,279612,319424,346486,376530,
11,Goa,Other services,123955,141551,163883,180431,200606,
Total,Goa,Tertiary,1231621,1339245,1475558,1738217,1954425,
12,Goa,TOTAL GSVA at basic prices,3940566,3487302,3202361,3597882,4059199,
13,Goa,Taxes on Products,373700,418200,453647,527279,488600,
14,Goa,Subsidies on products,77600,93500,63898,61854,47600,
15,Goa,Gross State Domestic Product,4236666,3812002,3592110,4063307,4500199,
16,Goa,Population ('00),14650,14750,14850,14950,15051,
17,Goa,Per Capita GSDP (Rs.),289192,258441,241893,271793,299003,
1,Gujarat,"Agriculture, forestry and fishing",10736422,9917095,13040117,13769969,14233763,
1.1,Gujarat,Crops,7950972,6767738,9556409,9671086,9516349,
1.2,Gujarat,Livestock,1850549,2011439,2316038,2698910,3164273,
1.3,Gujarat,Forestry and logging,611318,770303,715171,761616,858369,
1.4,Gujarat,Fishing and aquaculture,323584,367616,452499,638357,694772,
2,Gujarat,Mining and quarrying,1850611,2315728,2026283,2117218,2276009,
Total,Gujarat,Primary,12587033,12232823,15066400,15887187,16509773,
3,Gujarat,Manufacturing,15681931,20692579,21997752,24087538,26640817,
4,Gujarat,"Electricity, gas, water supply & other utility services",2190546,2679262,2890694,3409983,3812361,
5,Gujarat,Construction,4469267,4702959,5352370,5526017,5968098,
Total,Gujarat,Secondary,22341743,28074800,30240816,33023538,36421276,
6,Gujarat,"Trade, repair, hotels and restaurants",6646396,8457461,8991796,10178713,10697827,
6.1,Gujarat,Trade & repair services,6646396,8457461,8991796,10178713,10697827,
6.2,Gujarat,Hotels & restaurants,NA,NA,NA,NA,NA,
7,Gujarat,"Transport, storage, communication & services related to broadcasting",3253230,3715274,4015345,4555910,5105238,
7.1,Gujarat,Railways,328792,363157,384751,511593,596006,
7.2,Gujarat,Road transport,NA,NA,NA,NA,NA,
7.3,Gujarat,Water transport,NA,NA,NA,NA,NA,
7.4,Gujarat,Air transport,NA,NA,NA,NA,NA,
7.5,Gujarat,Services incidental to transport*,2126306,2434819,2485294,2744163,3051509,
7.6,Gujarat,Storage,36202,40557,46042,57634,66101,
7.7,Gujarat,Communication & services related to broadcasting,761929,876741,1099258,1242520,1391622,
8,Gujarat,Financial services,2942743,3461652,4116751,4606644,5210114,
9,Gujarat,"Real estate, ownership of dwelling & professional services",3481417,3969395,4564674,5179502,5916201,
10,Gujarat,Public administration,1917276,2184966,2373071,2576195,2887915,
11,Gujarat,Other services,2022268,2419178,2739442,3123413,3628248,
Total,Gujarat,Tertiary,20263330,24207926,26801079,30220377,33445543,
12,Gujarat,TOTAL GSVA at basic prices,55192107,64515549,72108295,79131102,86376592,
13,Gujarat,Taxes on Products,7700384,9515745,10380816,12353171.04,15317932.09,
14,Gujarat,Subsidies on products,1331884,1581757.841,1726792,1981546,2262925.532,
15,Gujarat,Gross State Domestic Product,61560607,72449536,80762319,89502727,99431599,
16,Gujarat,Population ('00),609060,617130,625300,633590,641990,
17,Gujarat,Per Capita GSDP (Rs.),101075,117398,129158,141263,154880,
1,Haryana,"Agriculture, forestry and fishing",6453886,7150666,7929914,8015238,8396709,9466087
1.1,Haryana,Crops,4088737,4457601,4951547,4636731,4727367,5469577
1.2,Haryana,Livestock,1889817,2160183,2483010,2916173,3225085,3524563
1.3,Haryana,Forestry and logging,389490,432560,400345,352254,356483,347491
1.4,Haryana,Fishing and aquaculture,85843,100322,95012,110080,87774,124457
2,Haryana,Mining and quarrying,11882,10013,30643,25186,47743,95975
Total,Haryana,Primary,6465768,7160679,7960557,8040424,8444452,9562062
3,Haryana,Manufacturing,5328609,6663757,7386437,7756921,8487531,9098633
4,Haryana,"Electricity, gas, water supply & other utility services",344604,647542,990052,1101919,1436434,1771999
5,Haryana,Construction,2975966,3042391,3571936,3702571,3930821,4232315
Total,Haryana,Secondary,8649179,10353690,11948425,12561411,13854787,15102947
6,Haryana,"Trade, repair, hotels and restaurants",3310742,3881872,4337016,4986319,5500429,6173305
6.1,Haryana,Trade & repair services,3191526,3750911,4195470,4817784,5307508,5951557
6.2,Haryana,Hotels & restaurants,119216,130961,141546,168535,192922,221748
7,Haryana,"Transport, storage, communication & services related to broadcasting",1727689,1965560,2226172,2560623,2859546,3201201
7.1,Haryana,Railways,268949,333924,349621,423873,473961,533680
7.2,Haryana,Road transport,1004452,1137035,1283657,1452364,1595178,1745342
7.3,Haryana,Water transport,NA,NA,NA,NA,NA,NA
7.4,Haryana,Air transport,NA,NA,NA,NA,NA,NA
7.5,Haryana,Services incidental to transport,139222,156962,163774,190269,211159,234366
7.6,Haryana,Storage,11955,16530,14378,14459,11646,11876
7.7,Haryana,Communication & services related to broadcasting,303112,321109,414741,479658,567602,675936
8,Haryana,Financial services,1165659,1321389,1483809,1671486,1811965,2002221
9,Haryana,"Real estate, ownership of dwelling & professional services",4092800,5007987,6262214,6970183,7855396,8970862
10,Haryana,Public administration,729814,822186,885660,1036377,1154920,1363217
11,Haryana,Other services,1265812,1476085,1652825,2001581,2328010,2753390
Total,Haryana,Tertiary,12292516,14475079,16847695,19226568,21510266,24464197
12,Haryana,TOTAL GSVA at basic prices,27407463,31989448,36756677,39828404,43809505,49129206
13,Haryana,Taxes on Products,3321210,3894111,4365329,4985670,5792396,6729658
14,Haryana,Subsidies on products,974821,1180358,1055793,1067867,1083502,1119258
15,Haryana,Gross State Domestic Product,29753852,34703201,40066212,43746207,48518399,54739606
16,Haryana,Population ('00),255600,259220,262900,266620,270400,274230
17,Haryana,Per Capita GSDP (Rs.),116408,133875,152401,164077,179432,199612
1,Himachal Pradesh,"Agriculture, forestry and fishing",1162626,1313711,1497802,1514981,,
1.1,Himachal Pradesh,Crops,673402,814909,938019,853758,,
1.2,Himachal Pradesh,Livestock,115315,109697,108442,110304,,
1.3,Himachal Pradesh,Forestry and logging,368735,383150,443092,540950,,
1.4,Himachal Pradesh,Fishing and aquaculture,5175,5956,8249,9968,,
2,Himachal Pradesh,Mining and quarrying,28640,30544,28476,33385,,
Total,Himachal Pradesh,Primary,1191266,1344255,1526277,1548366,,
3,Himachal Pradesh,Manufacturing,1799826,2063113,2355433,2543637,,
4,Himachal Pradesh,"Electricity, gas, water supply & other utility services",602408,619270,713480,767268,,
5,Himachal Pradesh,Construction,638216,711075,775084,808256,,
Total,Himachal Pradesh,Secondary,3040450,3393457,3843997,4119162,,
6,Himachal Pradesh,"Trade, repair, hotels and restaurants",456829,513988,583016,615496,,
6.1,Himachal Pradesh,Trade & repair services,357260,407784,473098,494162,,
6.2,Himachal Pradesh,Hotels & restaurants,99569,106203,109918,121333,,
7,Himachal Pradesh,"Transport, storage, communication & services related to broadcasting",300837,351968,445448,552234,,
7.1,Himachal Pradesh,Railways,1720,1919,2309,2528,,
7.2,Himachal Pradesh,Road transport,169771,212617,273314,349608,,
7.3,Himachal Pradesh,Water transport,0,0,0,0,,
7.4,Himachal Pradesh,Air transport,898,1670,1452,3979,,
7.5,Himachal Pradesh,Services incidental to transport,814,1024,1334,1724,,
7.6,Himachal Pradesh,Storage,163,181,120,129,,
7.7,Himachal Pradesh,Communication & services related to broadcasting,127471,134557,166919,194266,,
8,Himachal Pradesh,Financial services,287346,318473,332560,362521,,
9,Himachal Pradesh,"Real estate, ownership of dwelling & professional services",674894,816170,967576,1125937,,
