S.No.,State,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
17,Nagaland,Per Capita GSDP (Rs.),59463,67688,81671,89607,,
1,Odisha,"Agriculture, forestry and fishing",3899782,5319539,5545889,6422978,5923233,6944503
1.1,Odisha,Crops,2508626,3688187,3713058,4382636,3634239,4435505
1.2,Odisha,Livestock,538480,649537,735973,788243,862852,982547
1.3,Odisha,Forestry and logging,584641,635319,730574,791463,852212,871261
1.4,Odisha,Fishing and aquaculture,268035,346496,366283,460636,573930,655191
2,Odisha,Mining and quarrying,2648738,2663875,2861660,2586328,2536315,2565292
Total,Odisha,Primary,6548520,7983414,8407548,9009306,8459548,9509795
3,Odisha,Manufacturing,4116404,4212453,5168498,5754229,6084214,6369453
4,Odisha,"Electricity, gas, water supply & other utility services",498975,621278,703664,833067,954884,1028710
5,Odisha,Construction,2059629,2074154,2314664,2402396,2595864,2783835
Total,Odisha,Secondary,6675009,6907885,8186826,8989693,9634962,10181998
6,Odisha,"Trade, repair, hotels and restaurants",2035854,2436044,2769620,3149555,3472581,3831417
6.1,Odisha,Trade & repair services,1838866,2218946,2533465,2886789,3186965,3518412
6.2,Odisha,Hotels & restaurants,196989,217098,236155,262766,285617,313005
7,Odisha,"Transport, storage, communication & services related to broadcasting",1347538,1560857,1771254,2034016,2288366,2560875
7.1,Odisha,Railways,179466,233719,266785,341494,392608,443594
7.2,Odisha,Road transport,693450,802859,892415,973144,1104364,1235376
7.3,Odisha,Water transport,41962,42597,42862,50349,50873,53726
7.4,Odisha,Air transport,3421,7232,5311,15354,16298,19684
7.5,Odisha,Services incidental to transport,80536,87715,98780,117469,121943,134360
7.6,Odisha,Storage,13967,15384,18233,22675,23106,26398
7.7,Odisha,Communication & services related to broadcasting,334737,371354,446868,513531,579174,647737
8,Odisha,Financial services,796303,910354,962328,1065147,1192545,1269519
9,Odisha,"Real estate, ownership of dwelling & professional services",1707147,1901721,2146627,2348714,2558724,2830137
10,Odisha,Public administration,863077,980808,1390657,1318221,1333157,1489687
11,Odisha,Other services,1738239,1892760,1932774,2340603,2771634,3197566
Total,Odisha,Tertiary,8488159,9682545,10973261,12256258,13617007,15179201
12,Odisha,TOTAL GSVA at basic prices,21711688,24573844,27567635,30255256,31711518,34870994
13,Odisha,Taxes on Products,2031089,2340292,2715614,3151184,3623265,4179956
14,Odisha,Subsidies on products,955550,1086627,1112340,1209349,1146050,1151825
15,Odisha,Gross State Domestic Product,22787227,25827509,29170909,32197092,34188733,37899126
16,Odisha,Population ('00),422220,426510,430840,435220,439630,444100
17,Odisha,Per Capita GSDP (Rs.),53970,60555,67707,73979,77767,85339
1,Punjab,"Agriculture, forestry and fishing",7816825,8373465,9030656,9285716,,
1.1,Punjab,Crops,5007937,5314252,5734357,5690972,,
1.2,Punjab,Livestock,2034580,2222010,2445208,2638842,,
1.3,Punjab,Forestry and logging,715707,769611,758874,848245,,
1.4,Punjab,Fishing and aquaculture,58601,67592,92217,107657,,
2,Punjab,Mining and quarrying,3682,2057,8707,10354,,
Total,Punjab,Primary,7820507,8375522,9039363,9296070,,
3,Punjab,Manufacturing,3750728,4067078,4419233,4790341,,
4,Punjab,"Electricity, gas, water supply & other utility services",714903,816016,856238,911611,,
5,Punjab,Construction,1978423,2054740,2129015,2202962,,
Total,Punjab,Secondary,6444054,6937833,7404486,7904914,,
6,Punjab,"Trade, repair, hotels and restaurants",2532467,2993141,3752484,4419919,,
6.1,Punjab,Trade & repair services,2371685,2815726,3555016,4201252,,
6.2,Punjab,Hotels & restaurants,160781,177415,197468,218667,,
7,Punjab,"Transport, storage, communication & services related to broadcasting",1321324,1540246,1736148,1951809,,
7.1,Punjab,Railways,190402,228932,215046,233389,,
7.2,Punjab,Road transport,625062,708851,823463,928575,,
7.3,Punjab,Water transport,0,0,0,0,,
7.4,Punjab,Air transport,2464,4658,3967,4473,,
7.5,Punjab,Services incidental to transport,32147,36862,42676,48124,,
7.6,Punjab,Storage,48043,91143,64027,76429,,
7.7,Punjab,Communication & services related to broadcasting,423205,469800,586969,660819,,
8,Punjab,Financial services,1464304,1655979,1836932,2057520,,
9,Punjab,"Real estate, ownership of dwelling & professional services",2274674,2574058,2849529,3142786,,
10,Punjab,Public administration,1269455,1486914,1629661,1842730,,
11,Punjab,Other services,2250644,2520089,2909626,3303041,,
Total,Punjab,Tertiary,11112868,12770426,14714380,16717805,,
12,Punjab,TOTAL GSVA at basic prices,25377429,28083782,31158229,33918789,,
13,Punjab,Taxes on Products,2192500,2726900,3252700,3794100,,
14,Punjab,Subsidies on products,907100,1037300,939500,911800,,
15,Punjab,Gross State Domestic Product,26662829,29773382,33471429,36801089,,
16,Punjab,Population ('00),279547,283207,286916,290673,,
17,Punjab,Per Capita GSDP (Rs.),95379,105129,116659,126606,,
1,Rajasthan,"Agriculture, forestry and fishing",11910650,13572561,14418664,15044394,,
1.1,Rajasthan,Crops,7346942,8389344,8675414,7673441,,
1.2,Rajasthan,Livestock,3113617,3523365,3962174,5356257,,
1.3,Rajasthan,Forestry and logging,1416986,1622443,1738606,1956660,,
1.4,Rajasthan,Fishing and aquaculture,33105,37408,42470,58036,,
2,Rajasthan,Mining and quarrying,1841530,3395874,3716758,4069385,,
Total,Rajasthan,Primary,13752181,16968435,18135422,19113780,,
3,Rajasthan,Manufacturing,6666606,5627437,6015398,6552580,,
4,Rajasthan,"Electricity, gas, water supply & other utility services",763271,1059921,979452,1122888,,
5,Rajasthan,Construction,4359171,4568112,4965979,5353326,,
Total,Rajasthan,Secondary,11789049,11255470,11960829,13028794,,
6,Rajasthan,"Trade, repair, hotels and restaurants",4374625,5241569,6201013,7297290,,
6.1,Rajasthan,Trade & repair services,4097894,4943212,5878264,6942748,,
6.2,Rajasthan,Hotels & restaurants,276731,298357,322749,354543,,
7,Rajasthan,"Transport, storage, communication & services related to broadcasting",2312809,2748068,3300711,3814461,,
7.1,Rajasthan,Railways,240962,336900,401763,464638,,
7.2,Rajasthan,Road transport,1410655,1636644,1906004,2121206,,
7.3,Rajasthan,Water transport,0,0,0,0,,
7.4,Rajasthan,Air transport,6698,12715,10561,13469,,
7.5,Rajasthan,Services incidental to transport,31956,37192,43300,47609,,
7.6,Rajasthan,Storage,10113,11053,13916,16584,,
7.7,Rajasthan,Communication & services related to broadcasting,612425,713565,925166,1150955,,
8,Rajasthan,Financial services,1364042,1494592,1717985,1827413,,
9,Rajasthan,"Real estate, ownership of dwelling & professional services",4133721,4921093,5613758,6451997,,
10,Rajasthan,Public administration,1467926,1593519,2001087,2460364,,
11,Rajasthan,Other services,2481856,2892295,3357215,4164287,,
Total,Rajasthan,Tertiary,16134979,18891136,22191768,26015812,,
12,Rajasthan,TOTAL GSVA at basic prices,41676209,47115041,52288019,58158386,,
13,Rajasthan,Taxes on Products,3395875,4206109,4799113,5394503,,
14,Rajasthan,Subsidies on products,1425555,1920765,2117072,2333442,,
15,Rajasthan,Gross State Domestic Product,43646529,49400385,54970060,61219447,,
16,Rajasthan,Population ('00),691240,701220,711340,721610,,
17,Rajasthan,Per Capita GSDP (Rs.),63142,70449,77277,84837,,
1,Sikkim,"Agriculture, forestry and fishing",90137,108278,122419,137447,159217,
1.1,Sikkim,Crops,78207,94942,104440,114976,130878,
1.2,Sikkim,Livestock,7627,8747,12986,17338,22925,
1.3,Sikkim,Forestry and logging,4017,4137,4471,4529,4715,
1.4,Sikkim,Fishing and aquaculture,287,452,523,604,699,
2,Sikkim,Mining and quarrying,800,896,1238,1329,1584,
Total,Sikkim,Primary,90937,109173,123658,138776,160801,
3,Sikkim,Manufacturing,430623,462562,526856,550697,583579,
4,Sikkim,"Electricity, gas, water supply & other utility services",186623,183906,184113,212499,222468,
5,Sikkim,Construction,67095,67755,75613,82058,87830,
Total,Sikkim,Secondary,684341,714223,786582,845253,893877,
6,Sikkim,"Trade, repair, hotels and restaurants",31446,54858,69953,70568,80587,
6.1,Sikkim,Trade & repair services,26677,49790,64502,64624,73799,
6.2,Sikkim,Hotels & restaurants,4769,5069,5450,5945,6789,
7,Sikkim,"Transport, storage, communication & services related to broadcasting",28365,36020,42349,47347,56397,
7.1,Sikkim,Railways,0,0,0,0,0,
7.2,Sikkim,Road transport,21351,28414,31829,35283,41863,
7.3,Sikkim,Water transport,0,0,0,0,0,
7.4,Sikkim,Air transport,0,0,0,0,0,
7.5,Sikkim,Services incidental to transport,0,0,0,0,0,
7.6,Sikkim,Storage,0,0,0,0,0,
7.7,Sikkim,Communication & services related to broadcasting,7014,7606,10520,12064,14534,
8,Sikkim,Financial services,16521,17692,19924,21079,22871,
9,Sikkim,"Real estate, ownership of dwelling & professional services",58394,63935,68702,75330,82007,
10,Sikkim,Public administration,74027,85145,94138,119514,140444,
11,Sikkim,Other services,105179,115696,126386,149265,167844,
Total,Sikkim,Tertiary,313932,373345,421451,483103,550151,
12,Sikkim,TOTAL GSVA at basic prices,1089210,1196742,1331690,1467133,1604829,
13,Sikkim,Taxes on Products,40600,53900,71800,72200,78976,
14,Sikkim,Subsidies on products,13300,16800,17300,18400,20127,
15,Sikkim,Gross State Domestic Product,1116510,1233842,1386190,1520933,1663678,
16,Sikkim,Population ('00),6140,6210,6270,6330,6400,
17,Sikkim,Per Capita GSDP (Rs.),181842,198686,221083,240274,259950,
1,Tamil Nadu,"Agriculture, forestry and fishing",8773221,8439666,10867130,13064238,13143892,13707951
1.1,Tamil Nadu,Crops,5375639,4696306,6294046,7297820,7280028,7557588
1.2,Tamil Nadu,Livestock,2617944,2972027,3738883,4693361,4765971,4995138
1.3,Tamil Nadu,Forestry and logging,355528,338087,399307,392705,415952,434416
1.4,Tamil Nadu,Fishing and aquaculture,424110,433247,434895,680352,681941,720809
2,Tamil Nadu,Mining and quarrying,326843,317889,318743,265536,261638,276321
Total,Tamil Nadu,Primary,9100064,8757555,11185873,13329774,13405530,13984272
3,Tamil Nadu,Manufacturing,15176801,17826090,18137892,18914794,20142365,21026591
4,Tamil Nadu,"Electricity, gas, water supply & other utility services",795604,1267240,1303592,1710379,2073838,2336516
5,Tamil Nadu,Construction,9247221,10235650,11418102,12216718,13395808,14533745
Total,Tamil Nadu,Secondary,25219626,29328980,30859585,32841892,35612011,37896853
6,Tamil Nadu,"Trade, repair, hotels and restaurants",7930219,9691628,11344765,12895842,14567728,15372472
6.1,Tamil Nadu,Trade & repair services,6893400,8505165,9967754,11252588,12593468,13171329
6.2,Tamil Nadu,Hotels & restaurants,1036819,1186463,1377011,1643253,1974260,2201143
7,Tamil Nadu,"Transport, storage, communication & services related to broadcasting",5337904,6145938,6726593,7188320,8008838,8780319
7.1,Tamil Nadu,Railways,316026,370416,401984,468553,548315,581276
7.2,Tamil Nadu,Road transport,2866546,3309408,3581990,3660994,3851117,3978671
7.3,Tamil Nadu,Water transport,66379,62574,59573,70414,83962,100526
7.4,Tamil Nadu,Air transport,43317,80632,62921,180836,339750,492323
7.5,Tamil Nadu,Services incidental to transport*,822307,951481,939475,864407,980474,1113679
7.6,Tamil Nadu,Storage,26961,28773,33162,39834,48814,60273
7.7,Tamil Nadu,Communication & services related to broadcasting,1196369,1342653,1647489,1903283,2156406,2453571
8,Tamil Nadu,Financial services,4019599,4466210,5088062,5598498,5990393,6849037
9,Tamil Nadu,"Real estate, ownership of dwelling & professional services",10253371,12096018,14291455,16830213,19831868,23022995
10,Tamil Nadu,Public administration,2598408,2572501,2962600,3400800,3728920,4561182
11,Tamil Nadu,Other services,4842953,5483888,6378431,7430115,8569379,9858347
Total,Tamil Nadu,Tertiary,34982454,40456183,46791906,53343788,60697126,68444352
12,Tamil Nadu,TOTAL GSVA at basic prices,69302145,78542719,88837364,99515453,109714667,120325477
13,Tamil Nadu,Taxes on Products,8455881,10014105,10988371,12507325,14407032,16216539
14,Tamil Nadu,Subsidies on products,2609517,3008738,2716748,2766405,2854900,2665416
15,Tamil Nadu,Gross State Domestic Product,75148509,85548086,97108987,109256373,121266799,133876600
16,Tamil Nadu,Population ('00),725370,732110,738900,745760,752690,759680
17,Tamil Nadu,Per Capita GSDP (Rs.),103600,116851,131424,146503,161111,176228
1,Telangana,"Agriculture, forestry and fishing",5461488,6726490,7723553,7591501,7755281,9216180
1.1,Telangana,Crops,3236819,4057031,4715888,4162493,3867873,4885862
1.2,Telangana,Livestock,1884801,2278539,2539923,2951299,3436285,3852198
1.3,Telangana,Forestry and logging,191725,207059,218021,210741,213338,210850
1.4,Telangana,Fishing and aquaculture,148143,183861,249721,266968,237785,267270
2,Telangana,Mining and quarrying,1106109,1268476,1238555,1541853,1723849,1889245
Total,Telangana,Primary,6567597,7994966,8962108,9133354,9479130,11105425
3,Telangana,Manufacturing,6215158,5543115,5714839,6353711,6677750,7323500
4,Telangana,"Electricity, gas, water supply & other utility services",783505,589605,870938,716266,661426,666068
5,Telangana,Construction,2278975,2357786,2458242,2854024,3030401,3395388
Total,Telangana,Secondary,9277638,8490506,9044019,9924001,10369577,11384956
6,Telangana,"Trade, repair, hotels and restaurants",3747813,4454669,5127458,6494607,7481535,8786776
6.1,Telangana,Trade & repair services,3048685,3647224,4456270,5724128,6634722,7841875
6.2,Telangana,Hotels & restaurants,699128,807445,671188,770479,846813,944901
7,Telangana,"Transport, storage, communication & services related to broadcasting",2531735,2987019,3229811,3604741,4182002,4895352
7.1,Telangana,Railways,161363,175620,193048,199686,205940,208823
7.2,Telangana,Road transport,1461278,1715757,1869092,2055658,2418848,2863507
7.3,Telangana,Water transport,0,0,0,0,0,0
7.4,Telangana,Air transport,23258,43171,34506,120691,158647,217072
7.5,Telangana,Services incidental to transport,371763,484436,447736,454909,513777,593688
7.6,Telangana,Storage,17531,15328,17085,19805,24206,28510
7.7,Telangana,Communication & services related to broadcasting,496542,552707,668344,753992,860584,983752
8,Telangana,Financial services,2126507,2363216,2659553,3023729,3312302,3700835
9,Telangana,"Real estate, ownership of dwelling & professional services",5551356,6924491,8230664,9478839,10903589,12506017
10,Telangana,Public administration,1131292,1265964,1433832,1711265,2061873,2244545
11,Telangana,Other services,2670927,3035381,3546015,4158229,4848041,5442671
Total,Telangana,Tertiary,17759630,21030740,24227333,28471410,32789342,37576197
12,Telangana,TOTAL GSVA at basic prices,33604865,37516212,42233460,47528765,52638049,60066578
13,Telangana,Taxes on Products,3281100,3716400,4092900,4425700,6034600,6382500
14,Telangana,Subsidies on products,942700,1083300,1107800,836700,1109500,1019700
15,Telangana,Gross State Domestic Product,35943265,40149312,45218560,51117765,57563149,65429378
16,Telangana,Population ('00),356820,360400,364010,367660,371340,375050
17,Telangana,Per Capita GSDP (Rs.),100732,111402,124223,139035,155015,174455
1,Tripura,"Agriculture, forestry and fishing",511201,567087,702979,799825,,
1.1,Tripura,Crops,318959,339064,375086,397591,,
1.2,Tripura,Livestock,33664,42223,70541,88176,,
1.3,Tripura,Forestry and logging,109763,119262,133116,145096,,
1.4,Tripura,Fishing and aquaculture,48815,66538,124236,168961,,
2,Tripura,Mining and quarrying,118123,128413,130634,142391,,
Total,Tripura,Primary,629324,695500,833613,942216,,
3,Tripura,Manufacturing,72651,117529,125869,228625,,
4,Tripura,"Electricity, gas, water supply & other utility services",44297,55855,55022,77870,,
5,Tripura,Construction,148327,151630,174411,177899,,
Total,Tripura,Secondary,265275,325014,355302,484393,,
6,Tripura,"Trade, repair, hotels and restaurants",226839,265292,333695,390423,,
6.1,Tripura,Trade & repair services,226839,265292,333695,390423,,
6.2,Tripura,Hotels & restaurants,NA,NA,NA,NA,,
7,Tripura,"Transport, storage, communication & services related to broadcasting",84316,108895,121265,155956,,
7.1,Tripura,Railways,224,261,261,305,,
7.2,Tripura,Road transport,NA,NA,NA,NA,,
7.3,Tripura,Water transport,NA,NA,NA,NA,,
7.4,Tripura,Air transport,NA,NA,NA,NA,,
7.5,Tripura,Services incidental to transport*,46677,63696,65236,88721,,
7.6,Tripura,Storage,151,187,205,254,,
7.7,Tripura,Communication & services related to broadcasting,37264,44751,55563,66676,,
8,Tripura,Financial services,57103,67963,72348,86094,,
9,Tripura,"Real estate, ownership of dwelling & professional services",119572,135500,168765,190704,,
10,Tripura,Public administration,241678,270564,302004,338244,,
11,Tripura,Other services,255446,260210,316948,323287,,
Total,Tripura,Tertiary,984954,1108424,1315025,1484709,,
12,Tripura,TOTAL GSVA at basic prices,1879553,2128938,2503940,2911319,,
13,Tripura,Taxes on Products,103607,118636,149345,149345,,
14,Tripura,Subsidies on products,62319,81254,94002,94002,,
15,Tripura,Gross State Domestic Product,1920841,2166320,2559283,2966662,,
16,Tripura,Population ('00),37000,37440,37890,38350,,
17,Tripura,Per Capita GSDP (Rs.),51915,57861,67545,77358,,
1,Uttar Pradesh,"Agriculture, forestry and fishing",18324305,21306497,23813650,25097754,28212490,
1.1,Uttar Pradesh,Crops,12415418,14951864,16249998,16215212,18242114,
1.2,Uttar Pradesh,Livestock,4382274,4687592,5908922,7096876,8233666,
1.3,Uttar Pradesh,Forestry and logging,1249516,1358583,1312393,1404936,1330196,
1.4,Uttar Pradesh,Fishing and aquaculture,277097,308458,342337,380730,406514,
2,Uttar Pradesh,Mining and quarrying,653517,688795,868920,901501,783973,
Total,Uttar Pradesh,Primary,18977822,21995292,24682570,25999255,28996463,
3,Uttar Pradesh,Manufacturing,8763582,9522404,11377466,12261649,13604096,
4,Uttar Pradesh,"Electricity, gas, water supply & other utility services",926846,1228906,1663539,2030625,2152779,
5,Uttar Pradesh,Construction,8487701,9320623,10048635,11256450,12225841,
Total,Uttar Pradesh,Secondary,18178129,20071933,23089640,25548724,27982716,
6,Uttar Pradesh,"Trade, repair, hotels and restaurants",6946589,7472500,8713200,9437243,10603082,
6.1,Uttar Pradesh,Trade & repair services,6162196,6641138,7723813,8476139,9523247,
6.2,Uttar Pradesh,Hotels & restaurants,784393,831362,989387,961104,1079835,
7,Uttar Pradesh,"Transport, storage, communication & services related to broadcasting",4048142,4919874,6102126,7404509,8079924,
7.1,Uttar Pradesh,Railways,1066108,1227911,1398344,1618742,1534567,
7.2,Uttar Pradesh,Road transport,1976901,2477770,2885934,3645747,4269516,
7.3,Uttar Pradesh,Water transport,1496,783,528,681,798,
7.4,Uttar Pradesh,Air transport,7630,14732,15692,36582,42841,
7.5,Uttar Pradesh,Services incidental to transport,9842,12019,14738,16323,19116,
7.6,Uttar Pradesh,Storage,111006,122608,137454,171696,196868,
7.7,Uttar Pradesh,Communication & services related to broadcasting,875159,1064051,1649436,1914737,2016218,
8,Uttar Pradesh,Financial services,2518230,2862582,3133376,3392275,3605988,
9,Uttar Pradesh,"Real estate, ownership of dwelling & professional services",9745417,11527819,13018473,14548185,16038848,
10,Uttar Pradesh,Public administration,4234830,5058674,5483464,6152124,6823321,
11,Uttar Pradesh,Other services,3540115,3862890,4318007,5034623,5623362,
Total,Uttar Pradesh,Tertiary,31033323,35704339,40768646,45968959,50774526,
12,Uttar Pradesh,TOTAL GSVA at basic prices,68189274,77771564,88540856,97516938,107753705,
13,Uttar Pradesh,Taxes on Products,7063424,7797300,8962314,10107396,11008735,
14,Uttar Pradesh,Subsidies on products,2847843,3278565,3088598,3287219,3382981,
15,Uttar Pradesh,Gross State Domestic Product,72404855,82290299,94414572,104337115,115379459,
16,Uttar Pradesh,Population ('00),2015910,2046780,2078120,2109940,2110940,
17,Uttar Pradesh,Per Capita GSDP (Rs.),35917,40205,45433,49450,54658,
1,Uttarakhand,"Agriculture, forestry and fishing",1330208,1536643,1579095,1601423,1715039,
1.1,Uttarakhand,Crops,764026,901730,850163,866146,893917,
1.2,Uttarakhand,Livestock,287787,313744,351373,391188,447222,
1.3,Uttarakhand,Forestry and logging,274833,317354,373062,339293,368781,
1.4,Uttarakhand,Fishing and aquaculture,3562,3815,4497,4796,5119,
2,Uttarakhand,Mining and quarrying,186083,205726,354844,244549,298187,
Total,Uttarakhand,Primary,1516291,1742369,1933939,1845972,2013226,
3,Uttarakhand,Manufacturing,4365135,5082899,5439264,5866252,6132562,
4,Uttarakhand,"Electricity, gas, water supply & other utility services",398079,416111,375058,433880,541284,
5,Uttarakhand,Construction,883766,936950,1243051,1342733,1833004,
Total,Uttarakhand,Secondary,5646980,6435960,7057373,7642865,8506850,
6,Uttarakhand,"Trade, repair, hotels and restaurants",1192897,1408869,1614577,1743106,1991602,
6.1,Uttarakhand,Trade & repair services,1013998,1218822,1426694,1534073,1768221,
6.2,Uttarakhand,Hotels & restaurants,178899,190047,187883,209033,223381,
7,Uttarakhand,"Transport, storage, communication & services related to broadcasting",703706,825647,951652,1066693,1224232,
7.1,Uttarakhand,Railways,14140,16514,17214,21295,24470,
7.2,Uttarakhand,Road transport*,218487,259840,287156,307147,339240,
7.3,Uttarakhand,Water transport,NA,NA,NA,NA,NA,
7.4,Uttarakhand,Air transport,652,1229,2158,3889,7053,
7.5,Uttarakhand,Services incidental to transport,NA,NA,NA,-76,NA,
7.6,Uttarakhand,Storage,579,678,735,660,699,
7.7,Uttarakhand,Communication & services related to broadcasting,469848,547386,644389,733778,852770,
8,Uttarakhand,Financial services,293318,320421,357514,385030,421624,
9,Uttarakhand,"Real estate, ownership of dwelling & professional services",588825,671182,739177,831307,935310,
10,Uttarakhand,Public administration,412001,323723,483887,579409,711920,
11,Uttarakhand,Other services,498856,668947,827478,982430,1255262,
Total,Uttarakhand,Tertiary,3689603,4218789,4974285,5587975,6539950,
12,Uttarakhand,TOTAL GSVA at basic prices,10852874,12397118,13965597,15076812,17060026,
13,Uttarakhand,Taxes on Products,919682,1067367,1274054,1434856,1704821,
14,Uttarakhand,Subsidies on products,220207,280963,257991,313139,355716,
15,Uttarakhand,Gross State Domestic Product,11552349,13183522,14981660,16198529,18409131,
16,Uttarakhand,Population ('00),101650,103020,104410,105820,107240,
17,Uttarakhand,Per Capita GSDP (Rs.),113648,127971,143489,153076,171663,
